City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Vaini,TO,68.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
2,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
3,Tibiao,PH,80.78,overcast clouds,11.2915,122.0354,Kasa Raya Inn
4,Castro,BR,65.93,few clouds,-24.7911,-50.0119,CHACARA BAILLY
12,Guarapari,BR,80.49,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
15,Florianopolis,BR,67.26,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
16,Hithadhoo,MV,83.66,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Rikitea,PF,73.11,overcast clouds,-23.1203,-134.9692,Pension Maro'i
18,Torbay,CA,73.4,broken clouds,47.6666,-52.7314,Gallows Cove
23,Lalitpur,NP,70.18,few clouds,27.6667,85.3333,Hotel Goodwill
24,Asyut,EG,82.58,clear sky,27.181,31.1837,Florence Hotel Assiut
25,Fairbanks,US,66.2,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
29,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
33,Xuddur,SO,75.54,overcast clouds,4.1213,43.8894,Banjanay Hotel
42,Hamilton,US,72.25,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
45,Mayumba,GA,76.87,clear sky,-3.432,10.6554,LIKWALE LODGE
46,Klaebu,NO,77.0,clear sky,63.2976,10.4826,Gjenvollhytta
47,Veraval,IN,83.14,few clouds,20.9,70.3667,Lords Inn Somnath
53,Erechim,BR,66.16,clear sky,-27.6342,-52.2739,Hotel Buongiorno
54,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
57,Jamestown,US,67.32,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Sale,MA,68.68,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
66,Kailua,US,83.07,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
67,Nikolskoye,RU,66.09,few clouds,59.7035,30.7861,Tourist House - Sablino
