City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Vaini,TO,2021-06-03 19:39:36,-21.2,-175.2,68.0,94,40,8.95,scattered clouds
1,Butaritari,KI,2021-06-03 19:39:36,3.0707,172.7902,82.85,75,100,10.09,overcast clouds
2,Arraial Do Cabo,BR,2021-06-03 19:39:36,-22.9661,-42.0278,82.36,61,0,5.75,clear sky
3,Tibiao,PH,2021-06-03 19:39:37,11.2915,122.0354,80.78,82,100,5.64,overcast clouds
4,Castro,BR,2021-06-03 19:39:37,-24.7911,-50.0119,65.93,81,12,2.46,few clouds
5,Bluff,NZ,2021-06-03 19:35:10,-46.6,168.3333,49.8,87,99,11.61,moderate rain
6,Invermere,CA,2021-06-03 19:39:39,50.5167,-116.0354,90.27,20,3,7.58,clear sky
7,Punta Arenas,CL,2021-06-03 19:39:39,-53.15,-70.9167,37.42,93,90,12.3,light rain
8,Codrington,AU,2021-06-03 19:39:39,-38.2667,141.9667,52.83,65,55,16.22,broken clouds
9,Dunedin,NZ,2021-06-03 19:39:09,-45.8742,170.5036,46.8,80,100,1.01,overcast clouds
10,Samana,DO,2021-06-03 19:39:40,19.2056,-69.3369,88.02,70,40,9.22,scattered clouds
11,Seoul,KR,2021-06-03 19:39:19,37.5683,126.9778,56.71,94,40,2.46,scattered clouds
12,Guarapari,BR,2021-06-03 19:39:40,-20.6667,-40.4975,80.49,83,0,5.99,clear sky
13,Cherskiy,RU,2021-06-03 19:39:41,68.75,161.3,63.14,32,22,4.61,few clouds
14,Busselton,AU,2021-06-03 19:39:41,-33.65,115.3333,50.09,84,2,4.54,clear sky
15,Florianopolis,BR,2021-06-03 19:39:41,-27.6146,-48.5012,67.26,76,75,6.91,broken clouds
16,Hithadhoo,MV,2021-06-03 19:39:42,-0.6,73.0833,83.66,67,100,18.81,overcast clouds
17,Rikitea,PF,2021-06-03 19:39:42,-23.1203,-134.9692,73.11,63,94,15.37,overcast clouds
18,Torbay,CA,2021-06-03 19:39:42,47.6666,-52.7314,73.4,40,75,17.27,broken clouds
19,Nanortalik,GL,2021-06-03 19:39:43,60.1432,-45.2371,37.09,90,100,12.64,overcast clouds
20,San Patricio,US,2021-06-03 19:39:43,28.017,-97.5169,85.91,64,94,11.18,overcast clouds
21,Timra,SE,2021-06-03 19:39:44,62.487,17.3257,62.31,51,0,3.44,clear sky
22,Upernavik,GL,2021-06-03 19:39:44,72.7868,-56.1549,35.89,71,14,3.2,few clouds
23,Lalitpur,NP,2021-06-03 19:39:44,27.6667,85.3333,70.18,94,20,4.61,few clouds
24,Asyut,EG,2021-06-03 19:39:45,27.181,31.1837,82.58,19,3,16.37,clear sky
25,Fairbanks,US,2021-06-03 19:35:14,64.8378,-147.7164,66.2,36,75,4.61,broken clouds
26,Saskylakh,RU,2021-06-03 19:35:30,71.9167,114.0833,33.42,99,100,9.06,snow
